InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,GrossRevenue,DiscountAmount,NetRevenue,TotalOrderValue,Year,Month,YearMonth
600186,SKU_1292,Headphones,32,2020-01-02 10:00:00,82.94,26741,Netherlands,0.15,Credit Card,28.6,Electronics,Online,Not Returned,UPS,Amsterdam,High,2654.08,398.11199999999997,2255.968,2284.5679999999998,2020,1,2020-01
256730,SKU_1448,T-shirt,26,2020-01-02 11:00:00,35.39,28203,Australia,0.02,Bank Transfer,21.07,Stationery,In-store,Not Returned,DHL,Rome,Medium,920.14,18.4028,901.7372,922.8072000000001,2020,1,2020-01
970910,SKU_1984,Backpack,21,2020-01-02 12:00:00,61.34,87631,Belgium,0.24,Bank Transfer,9.39,Furniture,In-store,Not Returned,DHL,London,Low,1288.14,309.15360000000004,978.9864,988.3764,2020,1,2020-01
484681,SKU_1062,Desk Lamp,5,2020-01-02 13:00:00,30.77,41311,Spain,0.31,PayPal,15.27,Stationery,In-store,Not Returned,DHL,Amsterdam,Low,153.85,47.6935,106.1565,121.42649999999999,2020,1,2020-01
249503,SKU_1567,Wireless Mouse,47,2020-01-02 14:00:00,38.11,52219,France,0.27,PayPal,25.15,Stationery,In-store,Not Returned,UPS,Paris,Medium,1791.17,483.61590000000007,1307.5541,1332.7041000000002,2020,1,2020-01
754811,SKU_1457,T-shirt,12,2020-01-02 15:00:00,29.06,30037,Portugal,0.15,PayPal,12.84,Stationery,Online,Not Returned,UPS,London,Low,348.71999999999997,52.30799999999999,296.412,309.25199999999995,2020,1,2020-01
627035,SKU_1529,Notebook,29,2020-01-02 16:00:00,21.32,40568,Spain,0.16,Credit Card,10.88,Furniture,In-store,Not Returned,UPS,Paris,Low,618.28,98.9248,519.3552,530.2352,2020,1,2020-01
748143,SKU_1873,Blue Pen,21,2020-01-02 17:00:00,36.85,89341,Australia,0.15,PayPal,28.34,Electronics,In-store,Not Returned,UPS,Berlin,Low,773.85,116.0775,657.7725,686.1125000000001,2020,1,2020-01
552366,SKU_1960,Backpack,25,2020-01-02 18:00:00,86.68,69201,Australia,0.02,Bank Transfer,23.35,Accessories,In-store,Not Returned,Royal Mail,Berlin,Medium,2167.0,43.34,2123.66,2147.0099999999998,2020,1,2020-01
165725,SKU_1412,USB Cable,16,2020-01-02 19:00:00,9.08,46393,France,0.04,Bank Transfer,18.69,Apparel,In-store,Not Returned,Royal Mail,Rome,Low,145.28,5.8112,139.4688,158.15879999999999,2020,1,2020-01
229981,SKU_1588,Desk Lamp,31,2020-01-02 20:00:00,2.1,47167,Norway,0.29,Bank Transfer,16.04,Furniture,Online,Not Returned,UPS,Amsterdam,Low,65.10000000000001,18.879,46.221000000000004,62.261,2020,1,2020-01
184654,SKU_1259,Wall Clock,20,2020-01-02 21:00:00,24.36,73680,Norway,0.07,Bank Transfer,18.99,Apparel,In-store,Not Returned,FedEx,London,High,487.2,34.104,453.096,472.086,2020,1,2020-01
691723,SKU_1632,Wireless Mouse,31,2020-01-02 22:00:00,84.83,57796,Netherlands,0.12,Bank Transfer,23.25,Stationery,In-store,Not Returned,UPS,Paris,High,2629.73,315.56759999999997,2314.1624,2337.4124,2020,1,2020-01
419030,SKU_1907,Wireless Mouse,11,2020-01-02 23:00:00,93.1,18741,Australia,0.38,PayPal,8.78,Electronics,Online,Not Returned,DHL,Paris,Low,1024.1,389.15799999999996,634.942,643.722,2020,1,2020-01
428947,SKU_1183,T-shirt,32,2020-01-03 00:00:00,81.47,85133,Italy,0.0,Bank Transfer,9.14,Electronics,Online,Not Returned,DHL,Paris,High,2607.04,0.0,2607.04,2616.18,2020,1,2020-01
655839,SKU_1047,Office Chair,48,2020-01-03 01:00:00,4.74,-1,Belgium,0.22,Credit Card,23.11,Accessories,Online,Not Returned,UPS,London,High,227.52,50.0544,177.4656,200.5756,2020,1,2020-01
373538,SKU_1146,Headphones,8,2020-01-03 02:00:00,20.35,75852,Belgium,0.1,Credit Card,20.37,Stationery,In-store,Not Returned,UPS,Rome,Low,162.8,16.28,146.52,166.89000000000001,2020,1,2020-01
431236,SKU_1793,Wall Clock,23,2020-01-03 03:00:00,33.63,25739,France,0.33,Bank Transfer,6.6,Apparel,Online,Not Returned,DHL,Rome,Medium,773.49,255.25170000000003,518.2383,524.8383,2020,1,2020-01
628178,SKU_1875,Backpack,8,2020-01-03 04:00:00,68.66,79905,Netherlands,0.13,Credit Card,26.31,Stationery,In-store,Not Returned,Royal Mail,London,Low,549.28,71.4064,477.87359999999995,504.18359999999996,2020,1,2020-01
665894,SKU_1805,Headphones,2,2020-01-03 05:00:00,33.4,59341,Sweden,0.16,Bank Transfer,18.88,Apparel,Online,Not Returned,Royal Mail,Berlin,Low,66.8,10.688,56.111999999999995,74.99199999999999,2020,1,2020-01
589492,SKU_1591,T-shirt,27,2020-01-03 06:00:00,49.95,28756,Italy,0.3,PayPal,10.36,Stationery,In-store,Not Returned,DHL,London,Medium,1348.65,404.595,944.0550000000001,954.4150000000001,2020,1,2020-01
356840,SKU_1747,Office Chair,36,2020-01-03 07:00:00,5.04,61799,United Kingdom,0.15,Bank Transfer,27.63,Apparel,In-store,Returned,FedEx,Paris,Low,181.44,27.215999999999998,154.224,181.85399999999998,2020,1,2020-01
573254,SKU_1408,Blue Pen,35,2020-01-03 08:00:00,4.66,32638,Australia,0.27,PayPal,19.65,Furniture,In-store,Not Returned,UPS,London,Low,163.1,44.037,119.06299999999999,138.713,2020,1,2020-01
449457,SKU_1439,Desk Lamp,23,2020-01-03 09:00:00,73.48,80321,Italy,0.37,Bank Transfer,29.57,Stationery,Online,Not Returned,DHL,Amsterdam,High,1690.0400000000002,625.3148000000001,1064.7252,1094.2952,2020,1,2020-01
765987,SKU_1457,Blue Pen,41,2020-01-03 10:00:00,11.4,35294,Germany,0.08,Bank Transfer,12.87,Accessories,Online,Not Returned,UPS,Berlin,High,467.40000000000003,37.392,430.00800000000004,442.87800000000004,2020,1,2020-01
370936,SKU_1228,Backpack,48,2020-01-03 11:00:00,28.29,47376,Belgium,0.33,Bank Transfer,16.89,Apparel,Online,Not Returned,DHL,Rome,High,1357.92,448.1136,909.8064,926.6964,2020,1,2020-01
339931,SKU_1283,Office Chair,13,2020-01-03 12:00:00,1.47,46641,Spain,0.32,PayPal,8.53,Stationery,Online,Not Returned,UPS,London,Low,19.11,6.1152,12.9948,21.5248,2020,1,2020-01
339629,SKU_1572,Notebook,31,2020-01-03 13:00:00,55.33,72552,Italy,0.05,Credit Card,25.13,Furniture,Online,Not Returned,Royal Mail,Paris,Low,1715.23,85.76150000000001,1629.4685,1654.5985,2020,1,2020-01
305041,SKU_1731,Desk Lamp,45,2020-01-03 14:00:00,54.79,-1,United Kingdom,0.23,Credit Card,8.97,Accessories,In-store,Not Returned,DHL,Unknown,Medium,2465.55,567.0765,1898.4735,1907.4435,2020,1,2020-01
798361,SKU_1344,Office Chair,30,2020-01-03 15:00:00,45.18,64580,Netherlands,0.32,Credit Card,13.75,Furniture,Online,Not Returned,UPS,Amsterdam,Medium,1355.4,433.72800000000007,921.672,935.422,2020,1,2020-01
831912,SKU_1600,Wireless Mouse,6,2020-01-03 16:00:00,78.9,54809,Italy,0.1,Bank Transfer,12.89,Accessories,Online,Not Returned,DHL,Berlin,High,473.40000000000003,47.34,426.06000000000006,438.95000000000005,2020,1,2020-01
517113,SKU_1946,Notebook,20,2020-01-03 17:00:00,39.0,43390,Italy,0.09,PayPal,21.67,Electronics,Online,Not Returned,Royal Mail,Berlin,Medium,780.0,70.2,709.8,731.4699999999999,2020,1,2020-01
168148,SKU_1907,Wireless Mouse,26,2020-01-03 18:00:00,25.56,59957,United States,0.48,Bank Transfer,10.4,Electronics,In-store,Not Returned,UPS,London,High,664.56,318.98879999999997,345.5712,355.97119999999995,2020,1,2020-01
877089,SKU_1263,Office Chair,36,2020-01-03 19:00:00,34.13,68005,Italy,0.32,Bank Transfer,20.69,Apparel,Online,Not Returned,FedEx,Paris,Medium,1228.68,393.17760000000004,835.5024000000001,856.1924000000001,2020,1,2020-01
748531,SKU_1739,USB Cable,19,2020-01-03 20:00:00,69.38,96641,Norway,0.33,PayPal,27.74,Furniture,Online,Not Returned,UPS,Amsterdam,Medium,1318.2199999999998,435.01259999999996,883.2073999999998,910.9473999999998,2020,1,2020-01
351995,SKU_1377,USB Cable,22,2020-01-03 21:00:00,94.81,33544,Germany,0.43,Bank Transfer,25.61,Accessories,In-store,Not Returned,UPS,London,Medium,2085.82,896.9026,1188.9174000000003,1214.5274000000002,2020,1,2020-01
778843,SKU_1102,Wall Clock,12,2020-01-03 22:00:00,70.77,94953,Germany,0.33,Bank Transfer,17.0,Electronics,In-store,Not Returned,FedEx,Rome,High,849.24,280.24920000000003,568.9908,585.9908,2020,1,2020-01
672843,SKU_1953,Headphones,3,2020-01-03 23:00:00,99.17,-1,United States,0.03,PayPal,11.58,Stationery,Online,Not Returned,DHL,London,Medium,297.51,8.9253,288.5847,300.1647,2020,1,2020-01
356508,SKU_1599,T-shirt,5,2020-01-04 00:00:00,61.05,55140,Spain,0.45,Bank Transfer,8.03,Electronics,Online,Not Returned,Royal Mail,Rome,Low,305.25,137.3625,167.8875,175.9175,2020,1,2020-01
903591,SKU_1022,T-shirt,5,2020-01-04 01:00:00,94.77,55936,Portugal,0.13,Bank Transfer,19.81,Electronics,Online,Not Returned,Royal Mail,Rome,Low,473.84999999999997,61.6005,412.24949999999995,432.05949999999996,2020,1,2020-01
996942,SKU_1292,White Mug,43,2020-01-04 02:00:00,15.02,34933,Australia,0.02,Credit Card,18.34,Furniture,Online,Not Returned,UPS,Berlin,High,645.86,12.917200000000001,632.9428,651.2828000000001,2020,1,2020-01
206530,SKU_1266,Notebook,23,2020-01-04 03:00:00,24.56,14443,Sweden,0.32,PayPal,14.23,Stationery,Online,Not Returned,Royal Mail,London,Low,564.88,180.76160000000002,384.11839999999995,398.34839999999997,2020,1,2020-01
704365,SKU_1528,Office Chair,14,2020-01-04 04:00:00,66.41,16761,United Kingdom,0.22,PayPal,22.68,Furniture,Online,Not Returned,Royal Mail,Amsterdam,High,929.74,204.5428,725.1972000000001,747.8772,2020,1,2020-01
922352,SKU_1475,White Mug,49,2020-01-04 05:00:00,49.41,80434,United Kingdom,0.38,Bank Transfer,8.8,Stationery,In-store,Not Returned,Royal Mail,London,Low,2421.0899999999997,920.0141999999998,1501.0757999999998,1509.8757999999998,2020,1,2020-01
560337,SKU_1951,Blue Pen,39,2020-01-04 06:00:00,36.99,83214,Belgium,0.38,PayPal,20.06,Accessories,In-store,Not Returned,DHL,Rome,Medium,1442.6100000000001,548.1918000000001,894.4182000000001,914.4782,2020,1,2020-01
824839,SKU_1948,Blue Pen,7,2020-01-04 07:00:00,36.14,48511,United States,0.34,Bank Transfer,6.87,Furniture,In-store,Not Returned,UPS,Amsterdam,Medium,252.98000000000002,86.01320000000001,166.9668,173.8368,2020,1,2020-01
905889,SKU_1450,Backpack,35,2020-01-04 08:00:00,30.82,53228,Italy,0.03,Credit Card,8.87,Furniture,Online,Returned,FedEx,Paris,Low,1078.7,32.361,1046.339,1055.2089999999998,2020,1,2020-01
559773,SKU_1897,Wireless Mouse,38,2020-01-04 09:00:00,81.28,42562,Sweden,0.18,PayPal,27.77,Furniture,In-store,Not Returned,DHL,Amsterdam,High,3088.64,555.9552,2532.6848,2560.4548,2020,1,2020-01
308261,SKU_1284,Headphones,14,2020-01-04 10:00:00,36.13,96452,Italy,0.34,Credit Card,14.95,Apparel,In-store,Returned,DHL,Berlin,Low,505.82000000000005,171.97880000000004,333.8412,348.7912,2020,1,2020-01
864469,SKU_1312,USB Cable,17,2020-01-04 11:00:00,8.62,35193,Belgium,0.13,PayPal,19.11,Stationery,Online,Not Returned,FedEx,Amsterdam,Low,146.54,19.0502,127.48979999999999,146.5998,2020,1,2020-01
441097,SKU_1161,T-shirt,7,2020-01-04 12:00:00,15.96,30966,United Kingdom,0.28,PayPal,23.88,Electronics,Online,Not Returned,DHL,Paris,High,111.72,31.2816,80.4384,104.3184,2020,1,2020-01
415139,SKU_1589,USB Cable,20,2020-01-04 13:00:00,49.92,62514,Germany,0.4,Bank Transfer,8.34,Electronics,Online,Not Returned,Royal Mail,Rome,Low,998.4000000000001,399.36000000000007,599.04,607.38,2020,1,2020-01
271829,SKU_1121,T-shirt,34,2020-01-04 14:00:00,13.63,61596,Norway,0.08,Bank Transfer,24.2,Stationery,Online,Not Returned,DHL,Berlin,Low,463.42,37.0736,426.3464,450.5464,2020,1,2020-01
371836,SKU_1480,T-shirt,30,2020-01-04 15:00:00,83.42,62583,United Kingdom,0.45,Bank Transfer,5.92,Electronics,Online,Not Returned,UPS,Paris,Low,2502.6,1126.17,1376.4299999999998,1382.35,2020,1,2020-01
538974,SKU_1111,Wireless Mouse,40,2020-01-04 16:00:00,91.57,82963,Norway,0.35,PayPal,29.97,Accessories,In-store,Not Returned,FedEx,London,High,3662.7999999999997,1281.9799999999998,2380.8199999999997,2410.7899999999995,2020,1,2020-01
302283,SKU_1238,T-shirt,13,2020-01-04 17:00:00,7.54,89681,Belgium,0.38,Credit Card,26.46,Stationery,In-store,Not Returned,Royal Mail,Rome,Low,98.02,37.2476,60.7724,87.2324,2020,1,2020-01
296769,SKU_1209,White Mug,6,2020-01-04 18:00:00,87.27,79200,Belgium,0.08,PayPal,22.59,Electronics,Online,Not Returned,DHL,Paris,Low,523.62,41.8896,481.73040000000003,504.3204,2020,1,2020-01
661353,SKU_1348,White Mug,27,2020-01-04 19:00:00,68.95,28796,United States,0.45,Bank Transfer,18.1,Stationery,Online,Not Returned,UPS,Amsterdam,Medium,1861.65,837.7425000000001,1023.9075,1042.0075,2020,1,2020-01
323165,SKU_1510,Backpack,18,2020-01-04 20:00:00,33.22,76428,France,0.22,Bank Transfer,24.77,Stationery,Online,Not Returned,Royal Mail,Rome,Medium,597.96,131.55120000000002,466.40880000000004,491.1788,2020,1,2020-01
723587,SKU_1001,Blue Pen,24,2020-01-04 21:00:00,25.98,46156,Italy,0.13,Bank Transfer,16.68,Furniture,Online,Not Returned,FedEx,Amsterdam,Medium,623.52,81.0576,542.4624,559.1424,2020,1,2020-01
635822,SKU_1891,Office Chair,32,2020-01-04 22:00:00,41.15,97271,United Kingdom,0.4,Credit Card,7.7,Accessories,Online,Not Returned,DHL,Berlin,High,1316.8,526.72,790.0799999999999,797.78,2020,1,2020-01
587879,SKU_1714,Wall Clock,39,2020-01-04 23:00:00,60.36,90167,Sweden,0.07,Bank Transfer,24.41,Apparel,In-store,Not Returned,UPS,Rome,High,2354.04,164.7828,2189.2572,2213.6672,2020,1,2020-01
664685,SKU_1798,Backpack,26,2020-01-05 00:00:00,24.81,95325,Germany,0.4,Credit Card,26.82,Apparel,In-store,Returned,Royal Mail,Rome,Medium,645.06,258.024,387.03599999999994,413.85599999999994,2020,1,2020-01
882038,SKU_1628,White Mug,34,2020-01-05 01:00:00,88.14,41384,Netherlands,0.07,Bank Transfer,12.45,Furniture,Online,Not Returned,UPS,London,High,2996.76,209.77320000000003,2786.9868,2799.4368,2020,1,2020-01
453531,SKU_1880,Wall Clock,21,2020-01-05 02:00:00,3.75,84562,Portugal,0.02,Bank Transfer,16.33,Electronics,In-store,Not Returned,DHL,Berlin,Low,78.75,1.575,77.175,93.505,2020,1,2020-01
363160,SKU_1460,USB Cable,28,2020-01-05 03:00:00,7.96,97931,Portugal,0.35,Bank Transfer,6.64,Furniture,Online,Not Returned,FedEx,London,Low,222.88,78.008,144.872,151.512,2020,1,2020-01
679879,SKU_1811,Backpack,5,2020-01-05 04:00:00,48.24,14493,Belgium,0.18,PayPal,6.68,Stationery,Online,Not Returned,DHL,Amsterdam,Medium,241.20000000000002,43.416000000000004,197.78400000000002,204.46400000000003,2020,1,2020-01
320884,SKU_1894,Office Chair,42,2020-01-05 05:00:00,34.93,71731,France,0.41,PayPal,17.4,Accessories,Online,Not Returned,Royal Mail,London,High,1467.06,601.4946,865.5654,882.9653999999999,2020,1,2020-01
123247,SKU_1857,T-shirt,18,2020-01-05 06:00:00,31.83,60583,France,0.42,Credit Card,27.47,Apparel,Online,Returned,FedEx,Paris,High,572.9399999999999,240.63479999999996,332.3052,359.77520000000004,2020,1,2020-01
124300,SKU_1951,Headphones,8,2020-01-05 07:00:00,46.19,-1,Norway,0.1,Bank Transfer,12.81,Stationery,In-store,Not Returned,UPS,Unknown,High,369.52,36.952,332.568,345.378,2020,1,2020-01
567281,SKU_1481,T-shirt,43,2020-01-05 08:00:00,57.77,97562,United States,0.1,Credit Card,11.1,Furniture,Online,Not Returned,FedEx,Amsterdam,Low,2484.11,248.41100000000003,2235.699,2246.799,2020,1,2020-01
707086,SKU_1949,Notebook,48,2020-01-05 09:00:00,15.68,90838,Portugal,0.23,Credit Card,8.83,Apparel,In-store,Not Returned,DHL,London,High,752.64,173.1072,579.5328,588.3628,2020,1,2020-01
633556,SKU_1948,USB Cable,34,2020-01-05 10:00:00,85.06,64838,United Kingdom,0.01,Bank Transfer,29.98,Accessories,In-store,Not Returned,DHL,Amsterdam,Medium,2892.04,28.9204,2863.1196,2893.0996,2020,1,2020-01
448951,SKU_1625,White Mug,22,2020-01-05 11:00:00,35.03,30725,France,0.24,Bank Transfer,8.25,Furniture,Online,Not Returned,DHL,Amsterdam,Low,770.6600000000001,184.9584,585.7016000000001,593.9516000000001,2020,1,2020-01
374329,SKU_1585,Blue Pen,23,2020-01-05 12:00:00,49.73,59407,Italy,0.31,Credit Card,26.62,Electronics,Online,Not Returned,Royal Mail,Rome,High,1143.79,354.5749,789.2150999999999,815.8350999999999,2020,1,2020-01
819064,SKU_1971,Headphones,9,2020-01-05 13:00:00,57.1,90824,Sweden,0.01,Bank Transfer,11.88,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Low,513.9,5.139,508.76099999999997,520.641,2020,1,2020-01
842139,SKU_1240,Wireless Mouse,27,2020-01-05 14:00:00,65.17,96508,Norway,0.12,PayPal,28.59,Apparel,In-store,Returned,UPS,Rome,High,1759.5900000000001,211.1508,1548.4392000000003,1577.0292000000002,2020,1,2020-01
532315,SKU_1981,Backpack,14,2020-01-05 15:00:00,12.16,70672,Norway,0.2,Bank Transfer,12.57,Apparel,In-store,Not Returned,FedEx,Amsterdam,Medium,170.24,34.048,136.192,148.762,2020,1,2020-01
616588,SKU_1813,USB Cable,20,2020-01-05 16:00:00,84.61,19020,Norway,0.26,Bank Transfer,11.7,Stationery,In-store,Not Returned,FedEx,Paris,High,1692.2,439.97200000000004,1252.228,1263.928,2020,1,2020-01
336584,SKU_1053,Notebook,26,2020-01-05 17:00:00,7.36,90743,Germany,0.05,PayPal,29.14,Apparel,In-store,Not Returned,UPS,London,Low,191.36,9.568000000000001,181.792,210.93200000000002,2020,1,2020-01
662332,SKU_1670,Wireless Mouse,41,2020-01-05 18:00:00,22.68,64659,Netherlands,0.15,Bank Transfer,20.14,Stationery,Online,Not Returned,FedEx,Berlin,Medium,929.88,139.482,790.398,810.538,2020,1,2020-01
937646,SKU_1466,Wireless Mouse,7,2020-01-05 19:00:00,10.74,90633,United Kingdom,0.44,Bank Transfer,17.3,Accessories,In-store,Not Returned,DHL,Rome,Low,75.18,33.0792,42.10080000000001,59.400800000000004,2020,1,2020-01
476896,SKU_1108,Blue Pen,24,2020-01-05 20:00:00,76.55,54727,United States,0.0,PayPal,8.27,Accessories,Online,Not Returned,UPS,London,Medium,1837.1999999999998,0.0,1837.1999999999998,1845.4699999999998,2020,1,2020-01
